2026-04-22 18:33:36 | INFO     | src.features.technical_indicators | [AAPL] Feature matrix ready: 250 rows x 98 columns
2026-04-22 18:36:27 | INFO     | src.ingestion.yfinance_fetcher | [AAPL] Downloading 1d data (attempt 1/3)
2026-04-22 18:36:28 | INFO     | src.ingestion.yfinance_fetcher | [AAPL] Cleaned: 501/501 rows kept
2026-04-22 18:36:28 | INFO     | src.ingestion.yfinance_fetcher | [AAPL] Daily data cached (501 rows)
2026-04-22 18:36:28 | INFO     | src.ingestion.yfinance_fetcher | [MSFT] Downloading 1d data (attempt 1/3)
2026-04-22 18:36:28 | INFO     | src.ingestion.yfinance_fetcher | [MSFT] Cleaned: 501/501 rows kept
2026-04-22 18:36:28 | INFO     | src.ingestion.yfinance_fetcher | [MSFT] Daily data cached (501 rows)
2026-04-22 18:36:28 | INFO     | src.ingestion.yfinance_fetcher | [NVDA] Downloading 1d data (attempt 1/3)
2026-04-22 18:36:28 | INFO     | src.ingestion.yfinance_fetcher | [NVDA] Cleaned: 501/501 rows kept
2026-04-22 18:36:28 | INFO     | src.ingestion.yfinance_fetcher | [NVDA] Daily data cached (501 rows)
2026-04-22 18:36:28 | INFO     | src.ingestion.yfinance_fetcher | [TSLA] Downloading 1d data (attempt 1/3)
2026-04-22 18:36:29 | INFO     | src.ingestion.yfinance_fetcher | [TSLA] Cleaned: 501/501 rows kept
2026-04-22 18:36:29 | INFO     | src.ingestion.yfinance_fetcher | [TSLA] Daily data cached (501 rows)
2026-04-22 18:36:29 | INFO     | src.ingestion.yfinance_fetcher | [SPY] Downloading 1d data (attempt 1/3)
2026-04-22 18:36:29 | INFO     | src.ingestion.yfinance_fetcher | [SPY] Cleaned: 501/501 rows kept
2026-04-22 18:36:29 | INFO     | src.ingestion.yfinance_fetcher | [SPY] Daily data cached (501 rows)
2026-04-22 18:36:29 | INFO     | src.ingestion.yfinance_fetcher | [CVX] Downloading 1d data (attempt 1/3)
2026-04-22 18:36:29 | INFO     | src.ingestion.yfinance_fetcher | [CVX] Cleaned: 501/501 rows kept
2026-04-22 18:36:30 | INFO     | src.ingestion.yfinance_fetcher | [CVX] Daily data cached (501 rows)
2026-04-22 18:36:30 | INFO     | src.ingestion.yfinance_fetcher | [AMD] Downloading 1d data (attempt 1/3)
2026-04-22 18:36:30 | INFO     | src.ingestion.yfinance_fetcher | [AMD] Cleaned: 501/501 rows kept
2026-04-22 18:36:30 | INFO     | src.ingestion.yfinance_fetcher | [AMD] Daily data cached (501 rows)
2026-04-22 18:36:30 | INFO     | src.ingestion.yfinance_fetcher | [GLD] Downloading 1d data (attempt 1/3)
2026-04-22 18:36:30 | INFO     | src.ingestion.yfinance_fetcher | [GLD] Cleaned: 501/501 rows kept
2026-04-22 18:36:30 | INFO     | src.ingestion.yfinance_fetcher | [GLD] Daily data cached (501 rows)
2026-04-22 18:36:30 | INFO     | src.ingestion.yfinance_fetcher | [BTC-USD] Downloading 1d data (attempt 1/3)
2026-04-22 18:36:30 | INFO     | src.ingestion.yfinance_fetcher | [BTC-USD] Cleaned: 731/731 rows kept
2026-04-22 18:36:30 | INFO     | src.ingestion.yfinance_fetcher | [BTC-USD] Daily data cached (731 rows)
2026-04-22 18:36:31 | INFO     | src.ingestion.yfinance_fetcher | [DOL.TO] Downloading 1d data (attempt 1/3)
2026-04-22 18:36:31 | INFO     | src.ingestion.yfinance_fetcher | [DOL.TO] Cleaned: 503/503 rows kept
2026-04-22 18:36:31 | INFO     | src.ingestion.yfinance_fetcher | [DOL.TO] Daily data cached (503 rows)
2026-04-22 18:36:31 | INFO     | src.ingestion.yfinance_fetcher | [VFV.TO] Downloading 1d data (attempt 1/3)
2026-04-22 18:36:31 | INFO     | src.ingestion.yfinance_fetcher | [VFV.TO] Cleaned: 503/503 rows kept
2026-04-22 18:36:31 | INFO     | src.ingestion.yfinance_fetcher | [VFV.TO] Daily data cached (503 rows)
2026-04-22 18:36:31 | INFO     | src.ingestion.yfinance_fetcher | [CSU.TO] Downloading 1d data (attempt 1/3)
2026-04-22 18:36:32 | INFO     | src.ingestion.yfinance_fetcher | [CSU.TO] Cleaned: 503/503 rows kept
2026-04-22 18:36:32 | INFO     | src.ingestion.yfinance_fetcher | [CSU.TO] Daily data cached (503 rows)
2026-04-22 18:36:32 | INFO     | src.features.technical_indicators | [AAPL] Building features from 501 bars
2026-04-22 18:36:32 | WARNING  | src.features.technical_indicators | Candlestick patterns failed: module 'pandas_ta' has no attribute 'cdl_hammer'
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [AAPL] Trend: +25 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [AAPL] Momentum: +13 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [AAPL] Volatility: +18 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [AAPL] Volume: +11 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [AAPL] Returns: +18 features
2026-04-22 18:36:32 | DEBUG    | src.features.technical_indicators | [AAPL] Patterns: +4 features
